
---------- Begin Simulation Statistics ----------
simSeconds                                   0.217071                       # Number of seconds simulated (Second)
simTicks                                 217071056356                       # Number of ticks simulated (Tick)
finalTick                                217071056356                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1105.24                       # Real time elapsed on the host (Second)
hostTickRate                                196402021                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8610820                       # Number of bytes of host memory used (Byte)
simInsts                                    388181304                       # Number of instructions simulated (Count)
simOps                                      421914342                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   351219                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     381741                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        456031632                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.172587                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.852815                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       506067557                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   541280                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      485416642                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 186750                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             84694494                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          55127128                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 226                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           455755136                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.065082                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.218937                       # Number of insts issued each cycle (Count)
system.l3cache.tags.ageTaskId_1022::3            5457                       # Occupied blocks per task id, per block age (Count)
system.l3cache.tags.ageTaskId_1022::4           23840                       # Occupied blocks per task id, per block age (Count)
system.l3cache.tags.ageTaskId_1024::0             153                       # Occupied blocks per task id, per block age (Count)
system.l3cache.tags.ageTaskId_1024::1             493                       # Occupied blocks per task id, per block age (Count)
system.l3cache.tags.ageTaskId_1024::2             196                       # Occupied blocks per task id, per block age (Count)
system.l3cache.tags.ageTaskId_1024::3             289                       # Occupied blocks per task id, per block age (Count)
system.l3cache.tags.ageTaskId_1024::4            1090                       # Occupied blocks per task id, per block age (Count)
system.l3cache.tags.ratioOccsTaskId::1022     0.932220                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.l3cache.tags.ratioOccsTaskId::1024     0.067780                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.l3cache.tags.tagAccesses              12188006                       # Number of tag accesses (Count)
system.l3cache.tags.dataAccesses             12188006                       # Number of data accesses (Count)
system.l3cache.tags.power_state.pwrStateResidencyTicks::UNDEFINED 217071056356                       # Cumulative time (in ticks) in various power states (Tick)
system.mem_ctrl.avgPriority_writebacks::samples    182854.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrl.avgPriority_cpu.inst::samples      2481.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrl.avgPriority_cpu.data::samples     17530.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrl.avgPriority_cpu.dcache.prefetcher::samples     33100.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrl.avgPriority_cpu.l2cache.prefetcher::samples    180170.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrl.priorityMinLatency       0.000000018750                       # per QoS priority minimum request to response latency (Second)
system.mem_ctrl.priorityMaxLatency       0.010183621206                       # per QoS priority maximum request to response latency (Second)
system.mem_ctrl.numReadWriteTurnArounds         10586                       # Number of turnarounds from READ to WRITE (Count)
system.mem_ctrl.numWriteReadTurnArounds         10586                       # Number of turnarounds from WRITE to READ (Count)
system.mem_ctrl.numStayReadState               548460                       # Number of times bus staying in READ state (Count)
system.mem_ctrl.numStayWriteState              173270                       # Number of times bus staying in WRITE state (Count)
system.mem_ctrl.readReqs                       233293                       # Number of read requests accepted (Count)
system.mem_ctrl.writeReqs                      182854                       # Number of write requests accepted (Count)
system.mem_ctrl.readBursts                     233293                       # Number of controller read bursts, including those serviced by the write queue (Count)
system.mem_ctrl.writeBursts                    182854                       # Number of controller write bursts, including those merged in the write queue (Count)
system.mem_ctrl.servicedByWrQ                      12                       # Number of controller read bursts serviced by the write queue (Count)
system.mem_ctrl.mergedWrBursts                      0                       # Number of controller write bursts merged with an existing one (Count)
system.mem_ctrl.neitherReadNorWriteReqs             0                       # Number of requests that are neither read nor write (Count)
system.mem_ctrl.avgRdQLen                        2.18                       # Average read queue length when enqueuing ((Count/Tick))
system.mem_ctrl.avgWrQLen                       20.61                       # Average write queue length when enqueuing ((Count/Tick))
system.mem_ctrl.numRdRetry                          0                       # Number of times read queue was full causing retry (Count)
system.mem_ctrl.numWrRetry                         17                       # Number of times write queue was full causing retry (Count)
system.mem_ctrl.readPktSize::0                      0                       # Read request sizes (log2) (Count)
system.mem_ctrl.readPktSize::1                      0                       # Read request sizes (log2) (Count)
system.mem_ctrl.readPktSize::2                      0                       # Read request sizes (log2) (Count)
system.mem_ctrl.readPktSize::3                      0                       # Read request sizes (log2) (Count)
system.mem_ctrl.readPktSize::4                      0                       # Read request sizes (log2) (Count)
system.mem_ctrl.readPktSize::5                      0                       # Read request sizes (log2) (Count)
system.mem_ctrl.readPktSize::6                 233293                       # Read request sizes (log2) (Count)
system.mem_ctrl.writePktSize::0                     0                       # Write request sizes (log2) (Count)
system.mem_ctrl.writePktSize::1                     0                       # Write request sizes (log2) (Count)
system.mem_ctrl.writePktSize::2                     0                       # Write request sizes (log2) (Count)
system.mem_ctrl.writePktSize::3                     0                       # Write request sizes (log2) (Count)
system.mem_ctrl.writePktSize::4                     0                       # Write request sizes (log2) (Count)
system.mem_ctrl.writePktSize::5                     0                       # Write request sizes (log2) (Count)
system.mem_ctrl.writePktSize::6                182854                       # Write request sizes (log2) (Count)
system.mem_ctrl.rdQLenPdf::0                    77861                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::1                    26879                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::2                    21051                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::3                    15164                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::4                    13591                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::5                    10439                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::6                     9706                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::7                     9477                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::8                     8820                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::9                     7316                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::10                    5555                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::11                    5264                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::12                    3766                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::13                    3257                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::14                    2821                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::15                    2328                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::16                    2114                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::17                    1915                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::18                    1400                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::19                    1129                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::20                     783                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::21                     581                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::22                     492                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::23                     433                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::24                     393                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::25                     378                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::26                     366                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::27                       2                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::28                       0                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::29                       0                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::30                       0                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.rdQLenPdf::31                       0                       # What read queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::0                        1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::1                        1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::2                        1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::3                        1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::4                        1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::5                        1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::6                        1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::7                        1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::8                        1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::9                        1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::10                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::11                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::12                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::13                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::14                       1                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::15                    2060                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::16                    2153                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::17                    3896                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::18                    6502                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::19                    7214                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::20                    7602                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::21                    8020                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::22                    8394                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::23                   10234                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::24                    9132                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::25                    9593                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::26                   10412                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::27                   10215                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::28                   10423                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::29                   12857                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::30                   10920                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::31                   12188                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::32                   13497                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::33                    1613                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::34                    1522                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::35                    1343                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::36                    1244                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::37                     996                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::38                     870                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::39                     839                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::40                     885                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::41                     759                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::42                     804                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::43                     710                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::44                     661                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::45                     512                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::46                     631                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::47                     507                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::48                     455                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::49                     460                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::50                     531                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::51                     524                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::52                     539                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::53                     849                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::54                    2229                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::55                    3559                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::56                    2013                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::57                    1128                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::58                     723                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::59                     362                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::60                     149                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::61                      67                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::62                      19                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.wrQLenPdf::63                      24                       # What write queue length does an incoming req see (Count)
system.mem_ctrl.rdPerTurnAround::samples        10586                       # Reads before turning the bus around for writes (Count)
system.mem_ctrl.rdPerTurnAround::mean       22.035708                       # Reads before turning the bus around for writes (Count)
system.mem_ctrl.rdPerTurnAround::gmean      17.753294                       # Reads before turning the bus around for writes (Count)
system.mem_ctrl.rdPerTurnAround::stdev     279.506523                       # Reads before turning the bus around for writes (Count)
system.mem_ctrl.rdPerTurnAround::0-1023         10585     99.99%     99.99% # Reads before turning the bus around for writes (Count)
system.mem_ctrl.rdPerTurnAround::28672-29695            1      0.01%    100.00% # Reads before turning the bus around for writes (Count)
system.mem_ctrl.rdPerTurnAround::total          10586                       # Reads before turning the bus around for writes (Count)
system.mem_ctrl.wrPerTurnAround::samples        10586                       # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::mean       17.271018                       # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::gmean      17.071693                       # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::stdev       3.100908                       # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::16              7619     71.97%     71.97% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::17               199      1.88%     73.85% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::18              1292     12.20%     86.06% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::19               321      3.03%     89.09% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::20               276      2.61%     91.70% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::21               124      1.17%     92.87% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::22               146      1.38%     94.25% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::23                85      0.80%     95.05% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::24                86      0.81%     95.86% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::25               140      1.32%     97.18% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::26                51      0.48%     97.67% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::27                23      0.22%     97.88% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::28                33      0.31%     98.20% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::29                22      0.21%     98.40% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::30                35      0.33%     98.73% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::31                12      0.11%     98.85% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::32                21      0.20%     99.05% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::33                12      0.11%     99.16% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::34                19      0.18%     99.34% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::35                13      0.12%     99.46% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::36                 6      0.06%     99.52% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::37                14      0.13%     99.65% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::38                16      0.15%     99.80% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::39                 1      0.01%     99.81% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::40                 4      0.04%     99.85% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::41                 5      0.05%     99.90% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::42                 4      0.04%     99.93% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::43                 2      0.02%     99.95% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::44                 2      0.02%     99.97% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::45                 1      0.01%     99.98% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::48                 1      0.01%     99.99% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::53                 1      0.01%    100.00% # Writes before turning the bus around for reads (Count)
system.mem_ctrl.wrPerTurnAround::total          10586                       # Writes before turning the bus around for reads (Count)
system.mem_ctrl.bytesReadWrQ                      768                       # Total number of bytes read from write queue (Byte)
system.mem_ctrl.bytesReadSys                 14930752                       # Total read bytes from the system interface side (Byte)
system.mem_ctrl.bytesWrittenSys              11702656                       # Total written bytes from the system interface side (Byte)
system.mem_ctrl.avgRdBWSys               68782785.92569858                       # Average system read bandwidth in Byte/s ((Byte/Second))
system.mem_ctrl.avgWrBWSys               53911637.03007672                       # Average system write bandwidth in Byte/s ((Byte/Second))
system.mem_ctrl.totGap                   217071017800                       # Total gap between requests (Tick)
system.mem_ctrl.avgGap                      521621.01                       # Average gap between requests ((Tick/Count))
system.mem_ctrl.requestorReadBytes::cpu.inst       158784                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrl.requestorReadBytes::cpu.data      1121920                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrl.requestorReadBytes::cpu.dcache.prefetcher      2118400                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrl.requestorReadBytes::cpu.l2cache.prefetcher     11530880                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrl.requestorWriteBytes::writebacks     11701184                       # Per-requestor bytes write to memory (Byte)
system.mem_ctrl.requestorReadRate::cpu.inst 731483.978866310557                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrl.requestorReadRate::cpu.data 5168445.848257324658                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrl.requestorReadRate::cpu.dcache.prefetcher 9759016.404866939411                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrl.requestorReadRate::cpu.l2cache.prefetcher 53120301.681718327105                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrl.requestorWriteRate::writebacks 53904855.840429835021                       # Per-requestor bytes write to memory rate ((Byte/Second))
system.mem_ctrl.requestorReadAccesses::cpu.inst         2481                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrl.requestorReadAccesses::cpu.data        17542                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrl.requestorReadAccesses::cpu.dcache.prefetcher        33100                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrl.requestorReadAccesses::cpu.l2cache.prefetcher       180170                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrl.requestorWriteAccesses::writebacks       182854                       # Per-requestor write serviced memory accesses (Count)
system.mem_ctrl.requestorReadTotalLat::cpu.inst     72622086                       # Per-requestor read total memory access latency (Tick)
system.mem_ctrl.requestorReadTotalLat::cpu.data   1068802198                       # Per-requestor read total memory access latency (Tick)
system.mem_ctrl.requestorReadTotalLat::cpu.dcache.prefetcher   2312238120                       # Per-requestor read total memory access latency (Tick)
system.mem_ctrl.requestorReadTotalLat::cpu.l2cache.prefetcher  12240388286                       # Per-requestor read total memory access latency (Tick)
system.mem_ctrl.requestorWriteTotalLat::writebacks 4207256936422                       # Per-requestor write total memory access latency (Tick)
system.mem_ctrl.requestorReadAvgLat::cpu.inst     29271.30                       # Per-requestor read average memory access latency ((Tick/Count))
system.mem_ctrl.requestorReadAvgLat::cpu.data     60928.18                       # Per-requestor read average memory access latency ((Tick/Count))
system.mem_ctrl.requestorReadAvgLat::cpu.dcache.prefetcher     69856.14                       # Per-requestor read average memory access latency ((Tick/Count))
system.mem_ctrl.requestorReadAvgLat::cpu.l2cache.prefetcher     67937.99                       # Per-requestor read average memory access latency ((Tick/Count))
system.mem_ctrl.requestorWriteAvgLat::writebacks  23008831.84                       # Per-requestor write average memory access latency ((Tick/Count))
system.mem_ctrl.dram.bytesRead::cpu.inst       158784                       # Number of bytes read from this memory (Byte)
system.mem_ctrl.dram.bytesRead::cpu.data      1122688                       # Number of bytes read from this memory (Byte)
system.mem_ctrl.dram.bytesRead::cpu.dcache.prefetcher      2118400                       # Number of bytes read from this memory (Byte)
system.mem_ctrl.dram.bytesRead::cpu.l2cache.prefetcher     11530880                       # Number of bytes read from this memory (Byte)
system.mem_ctrl.dram.bytesRead::total        14930752                       # Number of bytes read from this memory (Byte)
system.mem_ctrl.dram.bytesInstRead::cpu.inst       158784                       # Number of instructions bytes read from this memory (Byte)
system.mem_ctrl.dram.bytesInstRead::total       158784                       # Number of instructions bytes read from this memory (Byte)
system.mem_ctrl.dram.bytesWritten::writebacks     11702656                       # Number of bytes written to this memory (Byte)
system.mem_ctrl.dram.bytesWritten::total     11702656                       # Number of bytes written to this memory (Byte)
system.mem_ctrl.dram.numReads::cpu.inst          2481                       # Number of read requests responded to by this memory (Count)
system.mem_ctrl.dram.numReads::cpu.data         17542                       # Number of read requests responded to by this memory (Count)
system.mem_ctrl.dram.numReads::cpu.dcache.prefetcher        33100                       # Number of read requests responded to by this memory (Count)
system.mem_ctrl.dram.numReads::cpu.l2cache.prefetcher       180170                       # Number of read requests responded to by this memory (Count)
system.mem_ctrl.dram.numReads::total           233293                       # Number of read requests responded to by this memory (Count)
system.mem_ctrl.dram.numWrites::writebacks       182854                       # Number of write requests responded to by this memory (Count)
system.mem_ctrl.dram.numWrites::total          182854                       # Number of write requests responded to by this memory (Count)
system.mem_ctrl.dram.bwRead::cpu.inst          731484                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwRead::cpu.data         5171984                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwRead::cpu.dcache.prefetcher      9759016                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwRead::cpu.l2cache.prefetcher     53120302                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwRead::total           68782786                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwInstRead::cpu.inst       731484                       # Instruction read bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwInstRead::total         731484                       # Instruction read bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwWrite::writebacks     53911637                       # Write bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwWrite::total          53911637                       # Write bandwidth from this memory ((Byte/Second))
system.mem_ctrl.dram.bwTotal::writebacks     53911637                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrl.dram.bwTotal::cpu.inst         731484                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrl.dram.bwTotal::cpu.data        5171984                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrl.dram.bwTotal::cpu.dcache.prefetcher      9759016                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrl.dram.bwTotal::cpu.l2cache.prefetcher     53120302                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrl.dram.bwTotal::total         122694423                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrl.dram.readBursts                233281                       # Number of DRAM read bursts (Count)
system.mem_ctrl.dram.writeBursts               182831                       # Number of DRAM write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::0         14756                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::1         14793                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::2         14774                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::3         15383                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::4         15061                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::5         14128                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::6         14869                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::7         14513                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::8         14196                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::9         13963                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::10        13871                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::11        14809                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::12        14880                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::13        14735                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::14        14107                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankRdBursts::15        14443                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::0         11779                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::1         11687                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::2         11569                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::3         12269                       # Per bank write bursts (Count)
system.mem_ctrl.dram.perBankWrBursts::4         11713                       # Per bank write bursts (Count)
